pharmacy;pharmacy pharmacies;
brave;brave braved braver braves braving bravest;
president;president presidents;
holding;holdings holding;
pants;pants;
calculate;calculate calculates calculating calculated;
desktop;desktops desktop;
party;partys parties partying party partied;
academic;academics academic;
religion;religion religions;
time;time timed times timing;
knock;knocking knock knocked knocks;
subway;subways subway;
fuck;fucking fucked fuck fucks;
hippy;hippies hippy hippys;
bark;barks barking barked bark;
tent;tents tent tented;
joke;joked jokes joke joking;
cage;caging caged cages cage;
directive;directives directive;
thunder;thundering thundered thunder thunders;
southerner;southerner southerners;
poetic;poetic;
theater;theater;
tavern;tavern taverns;
meet;met meeting meet meets;
tail;tails tail tailed tailing;
evolution;evolutions evolution;
project;projects project projecting projected;
bit;bit bits bitted;
handcuff;handcuffed handcuff handcuffing handcuffs;
caravan;caravans caravan;
touch;touch touching touched touches;
native;native natives;
bite;biting bite bites;
sweetie;sweetie;
nephew;nephew nephews;
sick;sicked sickest sicker sicks sick sicking;
uncle;uncles uncle;
wildfire;wildfire;
judgment;judgment judgments;
nail;nailing nailed nail nails;
queen;queens queen;
piss;pissed pissing pisses piss;
horny;horniest horny;
behavior;behaviors behavior;
butcher;butcher butchering butchered butchers;
sweetheart;sweethearts sweetheart;
trilogy;trilogy;
net;netting nets net netted;
commerce;commerce;
currency;currencies currency;
grind;grind ground grinds grinding;
bathing;bathing;
token;token tokens;
side;siding side sided sides;
guard;guards guard guarding guarded;
tell;tells told telled tell telling;
mention;mentioning mentioned mention mentions;
dating;dating datings;
unappreciated;unappreciated;
trial;trialing trialled trialling trial trials;
riverrun;riverrun;
ignore;ignores ignored ignoring ignore;
ridiculous;ridiculous;
starling;starling starlings;
solar;solar;
join;joins joined joining join;
burning;burnings burning;
till;tills tilled till tilling;
taking;takings taking;
slaver;slavered slavering slavers slaver;
beginner;beginners beginner;
register;register registered registers registering;
bird;bird birds;
brazil;brazil brazils;
red;reds red redder reddest;
developer;developer developers;
comfort;comforts comforting comfort comforted;
magical;magical;
library;libraries library;
guest;guested guests guest guesting;
aunt;aunts aunt;
britain;britains britain;
suspend;suspend suspends suspending suspended;
sniper;sniper snipers;
invader;invader invaders;
drop;dropped dropping drop drops;
lead;leads led leading lead;
architecture;architectures architecture;
capital;capitals capital;
echo;echoing echoes echos echoed echo;
cock;cock cocking cocked cocks;
kiss;kiss kissing kissed kisses;
software;software;
planet;planets planet;
march;march marching marches marched;
band;bands banded band banding;
rope;roping rope ropes roped;
bank;banking bank banked banks;
motion;motions motioning motioned motion;
bang;banging bangs banged bang;
founder;founders foundering foundered founder;
gentleman;gentlemen gentleman;
hoof;hoofed hoofing hoofs hooves hoof;
dad;dad dads;
creepy;creepy;
execute;executes executed execute executing;
textbook;textbooks textbook;
fax;fax faxes faxed faxing;
station;stationing stationed stations station;
pumpkin;pumpkin pumpkins;
watch;watching watch watches watched;
fat;fattest fatter fat fats;
yesterday;yesterday yesterdays;
